BookingId,ProviderId,UserId,PurchasedAtDate,PurchasedAtTime,GrossTransactionalAmount,Amount,VatAmount,VatRatePercent,ProductId
nmbs_c22ead93-52a6-4542-a6db-a4c3de52e67f,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-31,08:59:39,27.0,25.47,1.53,6.0,02a4377a-c13a-4af2-bf28-d1ed0d067563_40000056
delijn_5349a02d-afc1-4ccb-bfcc-61c56793c031,delijn,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-31,09:26:35,2.5,2.36,0.14,6.0,4014
nmbs_96483888-ae96-4435-a50b-64f4ea957bac,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-31,09:27:07,5.9,5.57,0.33,6.0,9ba1b3f8-61d9-4e93-af33-892bf5e820fe_40000090
nmbs_35d9970e-ecfa-40ce-a020-5b95f37ff0e9,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-31,09:29:45,129.0,121.70,7.30,6.0,e7fb0e95-f62d-415c-a82f-9abd8a1331f0_40000055
nmbs_677cbc61-91a7-4a56-8e2d-7d12b96ec02a,nmbs,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-31,12:19:21,5.7,5.38,0.32,6.0,c5daa422-3075-4eb4-b85a-a95a28604f87_40000079
nmbs_6c49d081-59e3-442a-9886-aa42959f079b,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-31,12:47:12,84.0,79.25,4.75,6.0,4f219fe1-12ad-4458-95ba-eb3239785d21_40000055
delijn_9995c3f9-1b55-4a69-a3e3-106833de454e,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-31,13:08:54,2.5,2.07,0.43,21.0,4014
delijn_2d60c3b2-b34b-4273-99e6-705116ff0e62,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-31,13:08:54,2.5,2.07,0.43,21.0,4014
delijn_180f4a21-e40a-4a9a-ac29-27060e769d74,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-31,13:08:54,2.5,2.07,0.43,21.0,4014
delijn_a879200b-03fb-4069-85cd-12f679c648b9,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-31,13:08:54,2.5,2.07,0.43,21.0,4014
delijn_a3650e84-7a42-4cc4-a20d-69e79ce90d6a,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-31,13:08:54,2.5,2.07,0.43,21.0,4014
delijn_b242a73b-f139-43b1-bbac-f123ff81fd95,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-31,13:08:54,2.5,2.07,0.43,21.0,4014
delijn_b8314691-abad-4ec1-800b-205cddb53e7e,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-31,13:08:54,2.5,2.07,0.43,21.0,4014
delijn_896da79d-631f-44ef-9caf-27665db9d639,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-31,13:08:54,2.5,2.07,0.43,21.0,4014
delijn_b27dc9d6-fee2-4bd9-bf10-95a1e668f44e,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-31,13:08:54,2.5,2.07,0.43,21.0,4014
delijn_3ed4ff57-01c3-4a71-bd81-bf1953e0e3b3,delijn,ca0db256-0cec-11ed-bcbb-5b2868dda0fa,2022-10-31,13:08:54,2.5,2.07,0.43,21.0,4014
nmbs_0f090cce-1e2e-48d2-8f5e-fc8d85e9c3a8,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-31,14:14:28,84.0,79.25,4.75,6.0,d45c2036-ac99-49e9-a412-11d2dd6788af_40000055
